Data,ID,Treatment,Replicate,Time,Conc,SD
PHP,B3T5,B,3,42,1.231163492,0.237697968
PHP,C1T5,C,1,42,0.713551538,0.358261807
PHP,C2T5,C,2,42,0.881002578,0.066126129
PHP,C3T5,C,3,42,0.900675357,0.030885479
DOC,A1T0,A,1,0,1379.04,NA
DOC,A2T0,A,2,0,1359,NA
DOC,A3T0,A,3,0,1377.96,NA
DOC,B1T0,B,1,0,1536,NA
DOC,B2T0,B,2,0,1521,NA
DOC,B3T0,B,3,0,1374.96,NA
DOC,C1T0,C,1,0,1704.96,NA
DOC,C2T0,C,2,0,1877.04,NA
DOC,C3T0,C,3,0,1392.96,NA
DOC,A1T1,A,1,5,1414.8,NA
DOC,A2T1,A,2,5,1698,NA
DOC,A3T1,A,3,5,1536,NA
DOC,B1T1,B,1,5,1712.3,NA
DOC,B2T1,B,2,5,1651.2,NA
DOC,B3T1,B,3,5,1629.6,NA
DOC,C1T1,C,1,5,1614,NA
DOC,C2T1,C,2,5,1592.4,NA
DOC,C3T1,C,3,5,1390.8,NA
DOC,A1T2,A,1,10,1317.6,NA
DOC,A2T2,A,2,10,1356,NA
DOC,A3T2,A,3,10,1348.8,NA
DOC,B1T2,B,1,10,1362,NA
DOC,B2T2,B,2,10,1423.2,NA
DOC,B3T2,B,3,10,1314,NA
DOC,C1T2,C,1,10,1413.6,NA
DOC,C2T2,C,2,10,1540.8,NA
DOC,C3T2,C,3,10,1299.6,NA
DOC,A1T3,A,1,20,1348.8,NA
DOC,A2T3,A,2,20,1329.6,NA
DOC,A3T3,A,3,20,1332,NA
DOC,B1T3,B,1,20,1510.8,NA
DOC,B2T3,B,2,20,1389.6,NA
DOC,B3T3,B,3,20,1286.4,NA
DOC,C1T3,C,1,20,1395.6,NA
DOC,C2T3,C,2,20,1425.6,NA
DOC,C3T3,C,3,20,1268.4,NA
DOC,A1T4,A,1,30,1323.6,NA
DOC,A2T4,A,2,30,1431.6,NA
DOC,A3T4,A,3,30,1419.6,NA
DOC,B1T4,B,1,30,1513.2,NA
DOC,B2T4,B,2,30,1538.4,NA
DOC,B3T4,B,3,30,1432.8,NA
DOC,C1T4,C,1,30,1453.2,NA
DOC,C2T4,C,2,30,1518,NA
DOC,C3T4,C,3,30,1404,NA
DOC,A1T5,A,1,42,1326,NA
DOC,A2T5,A,2,42,1245.6,NA
DOC,A3T5,A,3,42,1323.6,NA
DOC,B1T5,B,1,42,1306.8,NA
DOC,B2T5,B,2,42,1280.4,NA
DOC,B3T5,B,3,42,1268.4,NA
DOC,C1T5,C,1,42,1351.2,NA
DOC,C2T5,C,2,42,1250.4,NA
DOC,C3T5,C,3,42,1222.8,NA
TDN,A1T0,A,1,0,146.86,NA
TDN,A2T0,A,2,0,143.22,NA
TDN,A3T0,A,3,0,131.32,NA
TDN,B1T0,B,1,0,130.2,NA
TDN,B2T0,B,2,0,169.26,NA
TDN,B3T0,B,3,0,127.54,NA
TDN,C1T0,C,1,0,147.98,NA
TDN,C2T0,C,2,0,161.28,NA
TDN,C3T0,C,3,0,131.88,NA
TDN,A1T1,A,1,5,131.6,NA
TDN,A2T1,A,2,5,128.8,NA
TDN,A3T1,A,3,5,123.2,NA
TDN,B1T1,B,1,5,133,NA
TDN,B2T1,B,2,5,128.8,NA
TDN,B3T1,B,3,5,124.6,NA
TDN,C1T1,C,1,5,117.6,NA
TDN,C2T1,C,2,5,110.6,NA
TDN,C3T1,C,3,5,110.6,NA
TDN,A1T2,A,1,10,141.4,NA
TDN,A2T2,A,2,10,141.4,NA
TDN,A3T2,A,3,10,133,NA
TDN,B1T2,B,1,10,135.8,NA
TDN,B2T2,B,2,10,170.8,NA
TDN,B3T2,B,3,10,142.8,NA
TDN,C1T2,C,1,10,158.2,NA
TDN,C2T2,C,2,10,128.8,NA
TDN,C3T2,C,3,10,148.4,NA
TDN,A1T3,A,1,20,138.6,NA
TDN,A2T3,A,2,20,134.4,NA
TDN,A3T3,A,3,20,134.4,NA
TDN,B1T3,B,1,20,148.4,NA
TDN,B2T3,B,2,20,154,NA
TDN,B3T3,B,3,20,141.4,NA
TDN,C1T3,C,1,20,140,NA
TDN,C2T3,C,2,20,151.2,NA
TDN,C3T3,C,3,20,135.8,NA
TDN,A1T4,A,1,30,124.6,NA
TDN,A2T4,A,2,30,113.4,NA
TDN,A3T4,A,3,30,120.4,NA
TDN,B1T4,B,1,30,119,NA
TDN,B2T4,B,2,30,133,NA
TDN,B3T4,B,3,30,119,NA
TDN,C1T4,C,1,30,123.2,NA
TDN,C2T4,C,2,30,133,NA
TDN,C3T4,C,3,30,123.2,NA
TDN,A1T5,A,1,42,105,NA
TDN,A2T5,A,2,42,106.4,NA
TDN,A3T5,A,3,42,120.4,NA
TDN,B1T5,B,1,42,121.8,NA
TDN,B2T5,B,2,42,145.6,NA
TDN,B3T5,B,3,42,121.8,NA
TDN,C1T5,C,1,42,116.2,NA
TDN,C2T5,C,2,42,117.6,NA
TDN,C3T5,C,3,42,116.2,NA
